EventId,EventTemplate,Occurrences
bf6d8b9e,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' AND <*>=<*> #"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",19
0a4d66f3,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?username=<*>&password=<*>&Login=<*>"",""details"":{""query"":{""username"":""gordonb"",""password"":""***"",""Login"":""Login""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",18
fb975629,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?url=<*>&Submit=<*>"",""details"":{""query"":{""url"":""//<*>"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",17
0d87f5d5,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR IF(<*>=<*>, SLEEP(<*>.<*>), <*>) -- -"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",14
4e5847b6,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR IF(<*>=<*>, SLEEP(<*>.<*>), <*>) /* */"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",12
7b057eb5,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?url=<*>&Submit=<*>"",""details"":{""query"":{""url"":""//<*>:<*>"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",12
1fab1c53,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR BENCHMARK(<*>,MD5(<*>)) #"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",8
2380adce,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>') OR ('<*>'='<*> -- -"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",8
28768f5a,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR <*>=<*>-- -"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",6
51e44e2e,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR <*>=<*> -- -"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",6
6538ddbf,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR SLEEP(<*>.<*>) /* */"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",5
dcf25130,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR '<*>'='<*> #"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",5
df872d76,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR BENCHMARK(<*>,MD5(<*>)) /* */"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",5
00717183,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR <*>=<*> /* */"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",4
51ac8ef5,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR SLEEP(<*>.<*>) -- -"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",4
db9fb8d4,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR BENCHMARK(<*>,MD5(<*>)) -- -"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",4
e6ab6430,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR <*>=<*>#"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",4
e849947c,"{""ts"":""<*>"",""level"":""INFO"",""action"":""response"",""user"":null,""ip"":""<*>"",""method"":""POST"",""uri"":""/<*>"",""details"":{""status"":<*>,""duration_ms"":<*>}}",4
52b0e032,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR '<*>'='<*> -- -"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",3
f3089a1e,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR SLEEP(<*>.<*>) #"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",3
00a91649,"""GET <*> HTTP/<*>"" <*> ""-"" ""<*>""",2
0dec31b6,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' UNION SELECT @@version,@@version #"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",2
1695dcbc,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""POST"",""uri"":""/<*>"",""details"":{""query"":[],""post"":{""username"":""admin"",""password"":""***"",""Login"":""Login"",""user_token"":""***""},""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",2
2c1601cd,"{""ts"":""<*>"",""level"":""INFO"",""action"":""<*>"",""user"":null,""ip"":""<*>"",""method"":""POST"",""uri"":""/<*>"",""details"":{""dbms"":""MySQL"",""database"":""dvwa""}}",2
4c2c31d4,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' UNION SELECT concat(user(),':',database()),database() /* */"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",2
77a6bfef,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR '<*>'='<*> /* */"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",2
a4ad0ef7,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' UNION SELECT <*>,<*> -- -"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",2
b9765401,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR <*>=<*>/* */"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",2
cbbee07b,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""POST"",""uri"":""/<*>"",""details"":{""query"":[],""post"":{""create_db"":""Create / Reset Database"",""user_token"":""***""},""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",2
e745aefa,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>' OR <*>=<*> #"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",2
f8242098,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""query"":{""id"":""<*>') OR ('<*>'='<*> /* */"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",2
00073f54,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>&rnd=<*>"",""details"":{""query"":{""seed"":""<*>"",""rnd"":""qaCuelu""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",1
005da293,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?ip=<*>&Submit=<*>&rnd=<*>"",""details"":{""query"":{""ip"":""<*>"",""Submit"":""Submit"",""rnd"":""ErIfeqjkts""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",1
006ea20f,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>&rnd=<*>"",""details"":{""query"":{""seed"":""<*>"",""rnd"":""KQfztUJ""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",1
009ece17,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?url=<*>&Submit=<*>&rnd=<*>"",""details"":{""query"":{""url"":""<*>"",""Submit"":""Submit"",""rnd"":""kKPrSrAfV""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",1
00e89b0f,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>&rnd=<*>"",""details"":{""query"":{""id"":""<*>"",""Submit"":""Submit"",""rnd"":""gaDJcEUq""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",1
0109e352,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?ip=<*>&Submit=<*>&rnd=<*>"",""details"":{""query"":{""ip"":""<*>"",""Submit"":""Submit"",""rnd"":""DqGBYyWYnaCz""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",1
