EventId,EventTemplate,Occurrences
d35ade49,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""}}",191
6d5200b1,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>"",""details"":{""to"":""..<*>""}}",184
ab9e51ae,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>"",""details"":{""reason"":""not_authenticated""}}",184
0cf6ed77,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?ip=<*>&Submit=<*>"",""details"":{""reason"":""not_authenticated""}}",181
d0ced9af,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?ip=<*>&Submit=<*>"",""details"":{""to"":""..<*>""}}",181
147c146c,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>&rnd=<*>"",""details"":{""to"":""..<*>""}}",180
47965218,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>&rnd=<*>"",""details"":{""reason"":""not_authenticated""}}",180
02be3ec0,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?name=<*>&Submit=<*>"",""details"":{""reason"":""not_authenticated""}}",178
3cde80ab,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*> OPR/<*>""}}",178
af726a89,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?name=<*>&Submit=<*>"",""details"":{""to"":""..<*>""}}",178
485d6a79,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""}}",175
5879b64a,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>&rnd=<*>"",""details"":{""to"":""..<*>""}}",171
937cfdc6,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>&rnd=<*>"",""details"":{""reason"":""not_authenticated""}}",171
28bd5961,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?url=<*>&Submit=<*>"",""details"":{""to"":""..<*>""}}",159
cd154ad3,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?url=<*>&Submit=<*>"",""details"":{""reason"":""not_authenticated""}}",159
1d195141,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>"",""details"":{""to"":""..<*>""}}",158
3e558f4a,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>"",""details"":{""reason"":""not_authenticated""}}",158
3e089be0,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*> Edg/<*>""}}",132
63fad015,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?url=<*>&Submit=<*>"",""details"":{""query"":{""url"":""<*>"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""}}",130
44f82795,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>"",""details"":{""query"":{""seed"":""<*>""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""}}",129
24d1ea90,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>"",""details"":{""query"":{""page"":""<*>""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""}}",127
8dc11c5f,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?ip=<*>&Submit=<*>"",""details"":{""query"":{""ip"":""<*>"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""}}",127
74fc8d72,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (X11; Linux x86_64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""}}",122
7bb31c62,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?password_new=<*>&password_conf=<*>&Change=<*>"",""details"":{""reason"":""not_authenticated""}}",118
f3d4b12f,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?password_new=<*>&password_conf=<*>&Change=<*>"",""details"":{""to"":""..<*>""}}",118
f43a9afd,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/<*>.<*>.<*> (KHTML, like Gecko) Version/<*>.<*> Safari/<*>.<*>.<*>""}}",117
fbe053fd,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Linux; Android <*>; K) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Mobile Safari/<*>.<*>""}}",115
6300afdb,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?username=<*>&password=<*>&Login=<*>"",""details"":{""to"":""..<*>""}}",114
d4019150,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?username=<*>&password=<*>&Login=<*>"",""details"":{""reason"":""not_authenticated""}}",114
f2a8bf1d,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Linux; Android <*>; Redmi Note <*> Pro Build/QKQ1.<*>.<*>; wv) AppleWebKit/<*>.<*> (KHTML, like Gecko) Version/<*>.<*> Chrome/<*>.<*>.<*>.<*> Mobile Safari/<*>.<*> Phantom/android/<*>.<*>.<*>.<*>""}}",114
61da9ff1,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*>""}}",113
